,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th
0,second price,36.0,970.0,943.5110719314018,4.0,294.5,553.0,1347.75,3613.0,36.0,0.12632679130924043,0.1074857566127085,0.000721370604147881,0.048058925569197046,0.09270669182534523,0.17322435925227272,0.4125847776940467,1.2636129435304775,1.2626410512925652,0.0004960510460335547,0.0001215791080877331
1,second price,33.0,743.8181818181819,582.1369284018074,127.0,284.0,605.0,963.0,2616.0,33.0,0.11164032335685654,0.07617858103962613,0.02070531659096981,0.04317473955536462,0.10260723296888141,0.15195702225633154,0.30193905817174516,0.750295501185181,-0.05548094806503778,8.791025697676568e-05,1.148907487965459e-05
2,second price,32.0,672.84375,528.0874261304626,55.0,255.5,611.5,871.0,2377.0,32.0,0.11048676860319862,0.07530285514247671,0.012008733624454149,0.04210721666306466,0.1081242587134203,0.17341948786232614,0.28110217596972564,0.4589465284263973,-0.7419786150329433,6.600129555500332e-05,6.070966434523896e-06
3,second price,22.0,712.7272727272727,706.584081999492,27.0,166.5,454.0,1268.75,2236.0,22.0,0.10155719238817214,0.08609605377309686,0.00257781172426962,0.03399660637055036,0.0813936317970759,0.1574166922249906,0.3473227206946454,1.1071501960943875,1.4697980403474835,0.00019502427467701282,4.03649073549381e-05
4,second price,26.0,830.2692307692307,615.3527481171956,40.0,302.75,872.0,1093.5,2037.0,26.0,0.11490057107469093,0.07785633191678797,0.003817522427944264,0.055493270542840215,0.11022077414143866,0.16230161823936462,0.28261490151298885,0.44211851126885066,-0.6235135572355239,7.704235996089632e-05,6.347613821850422e-06
5,second price,28.0,902.4642857142857,887.7404309545233,19.0,246.25,567.0,1456.0,3828.0,28.0,0.12437828000508824,0.10176657683590985,0.0036786060019361085,0.03980505624018429,0.11365292216703884,0.17787176483915945,0.4094555567440368,0.9428993836864563,0.7389979746730946,0.0003397427205026582,7.376540464346585e-05
6,second price,29.0,758.8620689655172,765.0366342366475,8.0,254.0,548.0,1101.0,3708.0,29.0,0.10436146363565019,0.09394603186992796,0.0008930564858227283,0.04138311568879897,0.07899678111587982,0.11977284460505937,0.4256686947537596,1.7237681538354301,3.7458251648834167,0.00043064629760223953,0.0001237159176552081
7,second price,34.0,569.5588235294117,609.2769779245535,4.0,147.0,371.5,794.75,2177.0,34.0,0.09024685701852735,0.08182522062898573,0.0008193363375665711,0.027385428465911486,0.05915492554583668,0.16049339335022783,0.25264948318723013,0.7512103090179243,-0.953137087842653,8.487958473476718e-05,9.309967491413795e-06
8,second price,31.0,878.258064516129,860.8443516974845,12.0,188.5,695.0,1276.5,3749.0,31.0,0.12478540315444121,0.1110797119620978,0.0034652035807103665,0.0347556807699171,0.09365314647621614,0.17060328500966732,0.4191570881226054,1.0051032040186838,0.309476156503381,0.00043832822556309943,9.46013928174509e-05
9,second price,24.0,565.0833333333334,482.2605210308299,57.0,196.5,416.5,792.0,1546.0,24.0,0.08640467925403499,0.06276845856141243,0.011764705882352941,0.03565906020055901,0.06961216159697892,0.1261106987832345,0.22763507528786536,0.7001626383658783,-0.40126491406870013,3.475042527149517e-05,3.1088458009696654e-06
10,second price,30.0,736.2,700.1153304006912,16.0,239.0,546.0,990.75,2957.0,30.0,0.10790953512840772,0.09153370703562981,0.0014964459408903852,0.03213028437232792,0.09749292676797529,0.146127749547234,0.36060975609756096,0.9540730154261401,0.4508539969248022,0.00020896213790135243,3.9541227732483885e-05
11,second price,29.0,922.8965517241379,943.1026055687377,8.0,210.0,607.0,1488.0,4130.0,29.0,0.11558033901709287,0.09112515971844089,0.0015600624024961,0.02982530890498509,0.11490177287973168,0.176303317535545,0.387684220407397,0.798010980918972,1.1326573938990214,0.0002408285947512328,4.94904503244858e-05
12,second price,37.0,749.0,629.040450916226,5.0,194.0,622.0,1089.0,2455.0,37.0,0.1048364304300172,0.08970200828529264,0.0009850275807722615,0.037970106075216975,0.08809626128061883,0.1686656671664168,0.3866803278688525,1.133778546040286,1.26742172409904,0.0002417768540590628,5.365285465451296e-05
13,second price,31.0,762.1935483870968,626.0625857614576,3.0,227.5,706.0,991.5,2241.0,31.0,0.10002950507769828,0.06688693069938571,0.00030015007503751874,0.03402100759945016,0.101905311778291,0.15051406618316795,0.21290484559377354,0.2570222757246314,-1.1996203095171705,3.370006033478053e-05,1.2944277303961245e-06
14,second price,26.0,923.6538461538462,961.8062566778277,143.0,263.5,542.5,1208.25,4053.0,26.0,0.12127098916074737,0.1052047906233972,0.016713417484805985,0.04722579603392225,0.07589238025725867,0.16537562378330772,0.47281847876808214,1.881501670800716,4.214512868912291,0.0007049637618115887,0.00022572124137361396
15,second price,28.0,654.25,555.8290854410394,27.0,222.0,492.5,887.0,2089.0,28.0,0.11746433808127087,0.10111337274477623,0.0034065102195306586,0.04370006955071298,0.07255663845694846,0.17658548523900447,0.3660483175150992,1.0153427861141149,0.018306918936917604,0.0002729540053222225,5.0731984563796925e-05
16,second price,30.0,586.0,524.5857478969017,1.0,134.75,415.5,1104.0,1603.0,30.0,0.09523153788552553,0.08309213816888962,0.00010807305738679347,0.025132304346026896,0.07932798554640597,0.156451690062005,0.32684824902723736,0.8771547776046044,0.3388715243792002,0.00013770549881512068,2.3559744581839675e-05
17,second price,25.0,596.48,477.5063804111243,35.0,211.0,389.0,950.0,1722.0,25.0,0.08760395709407329,0.06507077427694367,0.005811057612485473,0.03734652114597544,0.06467049494120865,0.12294390552509489,0.22166921898928024,0.6372660947456944,-0.7899833756908654,3.517123503194421e-05,2.815232857310185e-06
18,second price,38.0,505.60526315789474,447.9903799325283,1.0,179.0,369.0,594.5,1678.0,38.0,0.07344012541766168,0.05609489830862314,0.00012242899118511264,0.029408868138846033,0.058544092236804214,0.10641733949054476,0.22496313178710284,0.9993380236586421,0.3749195657494129,2.9790091424677373e-05,3.208285928087006e-06
19,second price,31.0,629.1935483870968,702.3827740558012,2.0,86.5,402.0,779.5,2590.0,31.0,0.08494352342955733,0.08176085428385496,0.000253324889170361,0.017175242506430523,0.051876249852958474,0.1191299914624695,0.250749063670412,0.8720789958018648,-0.6067251988686673,9.62273741367641e-05,1.1618633119660625e-05
20,second price,31.0,765.9677419354839,694.7767739291505,2.0,177.0,645.0,1080.5,2466.0,31.0,0.10869363233197467,0.09389230499746856,0.00022150847269908073,0.024243603934885526,0.09010572826258482,0.17626786244758297,0.3613329238329238,0.9446431404889949,0.59941648087226,0.0002416087401267095,4.653434793288579e-05
21,second price,31.0,725.0,783.221169274682,37.0,239.0,438.0,882.0,3053.0,31.0,0.11083866189930991,0.0965654082656582,0.009635416666666667,0.041166494893991726,0.08012766672266085,0.14794813864959142,0.43249752089531096,1.6218002996893548,3.2283041252726212,0.0004513970602460793,0.0001269391639788563
22,second price,20.0,941.45,995.1586742033178,36.0,330.0,516.0,1303.0,4069.0,20.0,0.1319709516955705,0.11655665802243158,0.01068566340160285,0.04654191388489672,0.09131294183420505,0.17974427263852688,0.4578597952064814,1.4746597198354254,1.8958367540671341,0.0006943010572019656,0.00019758697257080078
23,second price,29.0,828.3448275862069,935.7157793392358,1.0,225.0,545.0,1118.0,3484.0,29.0,0.11758472040888074,0.10962901343259487,0.0001770224818551956,0.03922594142259414,0.10638655462184873,0.13853880413152658,0.400390625,1.2364487138330968,0.9857361699005955,0.00048796151137414737,0.00011110565750994447
24,second price,34.0,694.6470588235294,728.0688396670453,9.0,228.75,474.5,762.0,2865.0,34.0,0.09928306000745846,0.09280868550851723,0.0017159199237368923,0.0345998652144119,0.0800267840462621,0.12293449131400651,0.3742520398912058,1.5389928946902554,2.1797148348933146,0.00032853720413035243,7.623469356176332e-05
