,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th
0,second price,95.0,1840.1684210526316,1562.307327032215,276.0,807.5,1306.0,2284.0,8137.0,95.0,0.2909240134873037,0.2142473227952726,0.10430839002267574,0.1503788041534806,0.2168628940372199,0.3690729088393716,1.252626552053486,2.19497201562036,5.76687248443819,0.017338956267397582,0.014060470936322384
1,second price,101.0,1597.6732673267327,1131.1566656207347,309.0,851.0,1198.0,2117.0,6210.0,101.0,0.25132041318176634,0.12964084765923212,0.10038539181501192,0.1517752633632462,0.22146118721461186,0.3247806286793291,0.6871280394490733,1.098472342237739,0.8793448560308947,0.0010460184876042106,0.0003193975731139353
2,second price,93.0,1750.8494623655913,1198.103401088902,247.0,911.0,1544.0,2149.0,6404.0,93.0,0.28024983058102265,0.1512997535990652,0.10148849797023005,0.162796697626419,0.23696262372580884,0.3681929527039759,0.7698040629883399,0.9505918990780661,0.4053592653898699,0.0017025848991637361,0.0005540669262694122
3,second price,88.0,1586.8863636363637,1194.2420713027086,356.0,820.5,1155.0,1896.75,5994.0,88.0,0.2663599706325645,0.16190925805831327,0.10446009389671361,0.15855528989517753,0.21149686669764228,0.30296454912657766,0.8681614349775785,1.8332850659698245,3.406879310456152,0.004130099936381691,0.0020509065758110524
4,second price,89.0,1485.426966292135,846.3599450217876,335.0,949.0,1288.0,1797.0,4465.0,89.0,0.24372721458910163,0.1299902524764096,0.10194329404268876,0.14760638297872342,0.20411424006391052,0.3017019713481082,0.8384634952938184,1.63321590033018,4.046476849870993,0.001885905403831685,0.0009338859999839991
5,second price,101.0,1668.7623762376238,1172.1037082828027,255.0,885.0,1297.0,2263.0,7551.0,101.0,0.2885848817375731,0.18127958460332647,0.10103347215795157,0.1623413258110014,0.2537117903930131,0.36433068428114357,1.0594386351128233,1.9951518581720638,5.363398805739482,0.008514429090241239,0.0057366114001083796
6,second price,102.0,1568.2156862745098,1124.3660447219945,277.0,824.0,1252.0,2060.5,6140.0,102.0,0.23841461865398864,0.14503426788784612,0.10021707670043416,0.1318637794094376,0.1899808047015854,0.30178672538059975,0.9354270619313179,1.8669335332932477,4.787048414461221,0.003252608909031238,0.0018827127949413796
7,second price,97.0,1891.319587628866,1147.0997626840606,301.0,1025.0,1667.0,2594.0,5661.0,97.0,0.3091496058766462,0.1734868375438836,0.10317047817047817,0.18559022193631391,0.24369142033165103,0.3951828724353256,0.8500590318772137,1.2129742230883807,0.9467537281727343,0.0034049067077540508,0.0013821190879043813
8,second price,101.0,1825.4455445544554,1384.380348569334,236.0,978.0,1407.0,2170.0,9500.0,101.0,0.3024920347893611,0.20125942042945966,0.10805860805860806,0.1678281068524971,0.23982983249135867,0.34780439121756485,1.1308089500860585,1.9362361915321058,4.028443770037054,0.010893292989517285,0.007256443749757395
9,second price,94.0,1799.0851063829787,1331.1897714949525,310.0,950.25,1357.0,2263.0,8332.0,94.0,0.288727979406587,0.1630833473492906,0.10012628540501534,0.16757767111118194,0.24167365567479665,0.37967886453372324,0.8311865246470151,1.2855773055768867,1.2668989173509364,0.0028646449764579127,0.001167120955960993
10,second price,97.0,1586.1030927835052,1208.8030364487981,285.0,754.0,1274.0,2046.0,6908.0,97.0,0.2597539768558946,0.15064701864186195,0.10048919690175295,0.1550751879699248,0.20831113478955782,0.3315696649029982,0.8583499005964215,1.4811757879320029,2.2755467465734776,0.002572179016697654,0.0011748826887119535
11,second price,105.0,1655.142857142857,1064.5025420767734,261.0,901.0,1328.0,2036.0,5187.0,105.0,0.2634772073160075,0.14137305945196832,0.10187637969094923,0.15819489213984628,0.22164770768700448,0.3292991837883479,0.75,1.1851927390838677,0.8986656756567117,0.0014890848717459845,0.0005065681488962873
