,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th
0,second price,1084.0,1403.1531365313654,901.8380689783875,255.0,779.25,1146.5,1782.25,6120.0,1084.0,0.2135601447897056,0.1054703433201229,0.10027812113720642,0.13537236858520127,0.18177786924899372,0.2579971335290438,0.7673381294964029,1.4937994359290638,2.436997946038877,0.0006694812887941049,0.0002297523943007167
1,second price,1090.0,1466.043119266055,924.3826366439044,254.0,803.25,1202.0,1867.5,6838.0,1090.0,0.22413475601400026,0.1070726765849049,0.10008883624518804,0.14314401299919594,0.20249483310889366,0.2739777429093535,0.7554665331330329,1.5298250561912239,2.925844490360724,0.0007749613157623626,0.000275052800573618
2,second price,1115.0,1440.5632286995515,862.7436581349318,255.0,814.0,1177.0,1889.0,5507.0,1115.0,0.21978544447266632,0.10344530327074544,0.10030734842134674,0.13944141227999024,0.1930668016194332,0.27310856630737324,0.740174672489083,1.3365835051941208,2.036476391195185,0.0005740354005679395,0.00018976788841147172
3,second price,1088.0,1485.4099264705883,954.3194770999895,168.0,801.75,1241.5,1858.0,6968.0,1088.0,0.22444705750431737,0.11170010105749692,0.10011041589988959,0.14088131710870086,0.1922487621602031,0.27400472869406345,0.9090909090909091,1.7341591344395282,4.536701691527835,0.0011670162339779667,0.0005489621313078106
4,second price,1100.0,1459.0327272727272,933.3627750781387,275.0,803.75,1190.5,1866.75,7373.0,1100.0,0.22222145435021348,0.10684779845192781,0.10036018336607727,0.14310098077266584,0.19154386145324312,0.27215117506332676,0.7464212678936605,1.5099716721978667,2.7325156518225078,0.0007434689322190483,0.00026166530510087963
5,second price,1034.0,1450.1731141199227,860.4903698950177,242.0,824.0,1251.0,1876.0,5894.0,1034.0,0.22057795287861642,0.10463322750802788,0.10041580041580042,0.14157172858518266,0.19552996312661125,0.2726134492555574,0.7783454987834549,1.5064083685443035,2.8789812766920657,0.0007009425294229576,0.00024994931041227305
6,second price,1099.0,1447.0400363967242,906.066273123441,265.0,801.5,1194.0,1856.5,7644.0,1099.0,0.22401350987370403,0.10767095892614531,0.1003948785449324,0.14384329732980086,0.19522252239442628,0.2758213120455117,0.8138841567291312,1.4355189079664026,2.4994885174203105,0.0007355230111120418,0.00026414019265135256
7,second price,1093.0,1446.566331198536,952.9152005948453,170.0,778.0,1175.0,1842.0,6600.0,1093.0,0.22016597528648893,0.10946256349188771,0.10007900974453517,0.13673882572807974,0.19272614236866645,0.26946831364124596,0.7823902696985722,1.5044659882079103,2.5963892805981486,0.0007995158805037932,0.00028432126716802444
8,second price,1082.0,1458.5157116451016,893.465429577985,253.0,827.25,1237.0,1858.0,6635.0,1082.0,0.22220646904793184,0.10918195880323278,0.10019311598318754,0.14454574863331704,0.1955862977602108,0.2679179833486607,0.8981831945495836,1.819178610661142,4.798551214206817,0.0011022237686260394,0.0004848638163703843
9,second price,1106.0,1452.6437613019891,885.2048287352741,287.0,827.5,1201.0,1866.75,7171.0,1106.0,0.2232850725362113,0.10857594005250996,0.10030395136778116,0.14116337037912435,0.19825949427604622,0.27361979389660995,0.9209183673469388,1.732038404068766,4.949641731073353,0.0010989466436243677,0.000529835898442887
10,second price,1049.0,1446.5938989513822,910.2062979192689,244.0,825.0,1184.0,1830.0,7593.0,1049.0,0.2203089301198166,0.1063841794141865,0.1001865671641791,0.139449757940725,0.1916998172239544,0.27035928143712573,0.7111721020342266,1.4715623627306424,2.4582578024573363,0.0006955780920599454,0.0002317908526175506
11,second price,1109.0,1475.8025247971145,912.5954585116824,211.0,848.0,1249.0,1848.0,6191.0,1109.0,0.22287355222606206,0.10725399071852916,0.1005811773528309,0.14185063410051668,0.19375232428412048,0.27064665874986504,0.8840228873239436,1.6390066921780264,3.695540667832553,0.0008815025838343182,0.00035744398384018433
12,second price,1090.0,1461.605504587156,913.472293608829,287.0,816.25,1208.5,1839.25,6687.0,1090.0,0.22083423940963126,0.10577654567697285,0.10022627445760682,0.14109123601222673,0.19458790558725264,0.2644824947027907,0.7839306947511466,1.6123120829377289,3.363028023025427,0.000792491925078856,0.0002966246205921733
13,second price,1111.0,1490.2016201620163,933.8542128427858,244.0,814.5,1249.0,1907.5,7475.0,1111.0,0.22653944928988398,0.11178941235324154,0.10024650780608052,0.14333110799205523,0.19657087659985512,0.27812940029740213,0.793971101145989,1.5612283641587685,3.005234126843946,0.0009332139618582651,0.00035159298074670023
14,second price,1093.0,1421.5672461116194,886.9330610932633,276.0,794.0,1187.0,1814.0,6262.0,1093.0,0.2182957020100578,0.10607832353014972,0.10007631091246048,0.1386929948283968,0.189498618239242,0.2653927813163482,0.6655926029700197,1.4256908525282,2.0456837254619327,0.0006358478125260115,0.00019815686288246224
15,second price,1065.0,1408.0591549295775,827.6363000627846,233.0,832.0,1189.0,1836.0,6797.0,1065.0,0.21776254599675574,0.10457400763527652,0.10019455252918288,0.13757835697789508,0.18850010667804565,0.2671960761415392,0.7252952144188938,1.4516198885799525,2.429085469799568,0.000646014513481417,0.00021565268919859366
16,second price,1105.0,1474.0552036199094,941.8344378726247,223.0,814.0,1211.0,1852.0,7361.0,1105.0,0.22550913328125244,0.10479812630208664,0.1004223369310183,0.14331097776208965,0.19693521468669398,0.2822156821526172,0.7479899195967838,1.2221800975782797,1.4844812176722946,0.0005384721154983508,0.00016135591595822844
17,second price,1139.0,1455.6215978928885,897.1338289939737,264.0,806.5,1229.0,1856.0,7640.0,1139.0,0.22036810476434326,0.10294229173383063,0.10019083969465649,0.1429445628065793,0.19439492968904734,0.2687513033806798,0.8032994923857868,1.5004360913065629,2.7486930439932435,0.0006424975741128706,0.00022204806473043577
18,second price,1090.0,1518.5541284403669,938.2951165372006,251.0,835.0,1258.5,1970.0,8181.0,1090.0,0.23106019148377438,0.11532579561852348,0.1001179593040401,0.14697301754720582,0.20300131242521774,0.283705969438381,0.9686561561561562,1.6751896916420932,4.031287545362625,0.0012372587302392013,0.0005642588213320223
