,second_price_1,auction type
301,1,0
855,0,4
593,1,0
243,1,0
354,0,4
376,1,0
519,1,0
54,0,3
653,1,0
181,0,1
62,0,3
320,1,0
112,0,1
623,0,2
65,0,4
669,1,0
571,0,4
200,0,3
825,0,2
462,1,0
515,1,0
920,1,0
728,1,0
964,0,2
987,0,3
34,1,0
161,1,0
917,1,0
968,0,2
744,1,0
249,1,0
157,1,0
76,1,0
176,1,0
646,0,4
650,1,0
908,1,0
78,1,0
556,0,2
532,1,0
805,0,1
345,0,3
183,0,1
975,0,3
850,0,4
763,1,0
201,0,3
507,1,0
906,1,0
368,1,0
683,1,0
88,1,0
230,1,0
771,1,0
20,1,0
871,1,0
455,1,0
761,1,0
199,0,3
779,1,0
962,0,2
105,1,0
513,1,0
937,0,1
951,0,1
206,0,3
899,1,0
46,0,2
467,1,0
976,0,3
260,0,1
518,1,0
277,0,3
71,0,4
278,0,3
510,1,0
259,0,1
706,0,3
50,0,2
668,1,0
897,1,0
382,1,0
854,0,4
160,1,0
820,0,2
704,0,3
895,1,0
631,0,3
710,0,3
11,1,0
179,1,0
654,1,0
87,1,0
187,0,1
174,1,0
115,0,1
521,1,0
505,1,0
659,1,0
131,0,3
328,0,1
426,0,4
251,1,0
53,0,2
709,0,3
574,0,4
109,0,1
588,1,0
60,0,3
263,0,2
972,0,3
1001,0,4
66,0,4
233,1,0
140,0,4
680,1,0
769,1,0
827,0,2
25,1,0
77,1,0
165,1,0
595,1,0
429,0,4
144,1,0
888,1,0
30,1,0
357,0,4
689,0,1
812,0,2
421,0,3
956,0,2
33,1,0
560,0,3
561,0,3
609,1,0
39,0,1
576,1,0
874,1,0
374,1,0
423,0,4
132,0,3
268,0,2
852,0,4
770,1,0
695,0,2
411,0,2
620,0,1
594,1,0
261,0,2
134,0,3
159,1,0
396,0,1
864,1,0
412,0,2
242,1,0
235,1,0
177,1,0
578,1,0
356,0,4
90,1,0
383,1,0
822,0,2
701,0,2
731,1,0
716,0,4
814,0,2
845,0,3
939,0,1
544,0,1
360,1,0
319,1,0
816,0,2
514,1,0
750,1,0
204,0,3
903,1,0
49,0,2
503,0,4
252,0,1
870,1,0
838,0,3
592,1,0
749,1,0
583,1,0
169,1,0
764,1,0
17,1,0
857,0,4
121,0,2
100,1,0
428,0,4
837,0,3
366,1,0
458,1,0
400,0,1
792,0,1
375,1,0
980,0,3
567,0,4
826,0,2
289,1,0
875,1,0
83,1,0
342,0,3
215,0,4
227,1,0
484,0,2
671,1,0
67,0,4
334,0,2
61,0,3
502,0,4
940,0,1
139,0,4
117,0,2
151,1,0
960,0,2
949,0,1
434,1,0
198,0,3
851,0,4
794,0,1
634,0,3
958,0,2
422,0,3
993,0,4
280,0,4
170,1,0
500,0,4
324,0,1
370,1,0
531,1,0
798,0,1
686,0,1
312,1,0
846,0,4
122,0,2
830,0,3
498,0,4
883,1,0
836,0,3
751,1,0
603,1,0
828,0,3
649,1,0
878,1,0
944,0,1
291,1,0
931,1,0
534,1,0
843,0,3
783,1,0
158,1,0
350,0,3
154,1,0
270,0,3
491,0,3
178,1,0
675,1,0
652,1,0
774,1,0
51,0,2
882,1,0
97,1,0
137,0,4
564,0,3
18,1,0
120,0,2
643,0,4
638,0,3
335,0,2
218,1,0
941,0,1
226,1,0
569,0,4
138,0,4
821,0,2
114,0,1
470,0,1
125,0,2
192,0,2
416,0,3
69,0,4
73,1,0
889,1,0
606,1,0
773,1,0
752,1,0
283,0,4
790,1,0
349,0,3
225,1,0
95,1,0
388,1,0
690,0,1
713,0,4
625,0,2
288,1,0
946,0,1
250,1,0
705,0,3
656,1,0
453,1,0
344,0,3
612,0,1
384,1,0
809,0,1
258,0,1
788,1,0
440,1,0
572,0,4
253,0,1
524,1,0
44,0,1
24,1,0
762,1,0
605,1,0
834,0,3
450,1,0
739,1,0
465,1,0
494,0,3
363,1,0
693,0,2
216,1,0
413,0,2
673,1,0
55,0,3
618,0,1
879,1,0
787,1,0
604,1,0
1004,0,4
961,0,2
904,1,0
813,0,2
969,0,2
417,0,3
136,0,4
308,1,0
616,0,1
630,0,3
893,1,0
666,1,0
707,0,3
456,1,0
331,0,1
338,0,2
459,1,0
535,1,0
719,0,4
806,0,1
451,1,0
191,0,2
425,0,4
47,0,2
332,0,1
550,0,2
679,1,0
859,0,4
210,0,4
285,0,4
266,0,2
696,0,2
988,0,3
782,1,0
907,1,0
533,1,0
148,1,0
748,1,0
552,0,2
336,0,2
804,0,1
147,1,0
722,1,0
678,1,0
717,0,4
208,0,4
600,1,0
72,1,0
545,0,1
314,1,0
714,0,4
313,1,0
575,0,4
808,0,1
377,1,0
938,0,1
75,1,0
966,0,2
732,1,0
59,0,3
711,0,4
84,1,0
767,1,0
819,0,2
540,0,1
118,0,2
406,0,2
442,1,0
925,1,0
460,1,0
926,1,0
1,1,0
457,1,0
723,1,0
916,1,0
452,1,0
196,0,2
333,0,2
919,1,0
800,0,1
42,0,1
141,0,4
982,0,3
322,1,0
640,0,4
237,1,0
306,1,0
477,0,2
180,0,1
404,0,1
832,0,3
527,1,0
405,0,2
755,1,0
163,1,0
255,0,1
844,0,3
742,1,0
921,1,0
599,1,0
318,1,0
3,1,0
348,0,3
953,0,1
15,1,0
563,0,3
35,1,0
765,1,0
520,1,0
694,0,2
52,0,2
720,1,0
272,0,3
205,0,3
224,1,0
222,1,0
246,1,0
776,1,0
353,0,4
985,0,3
133,0,3
508,1,0
585,1,0
323,1,0
149,1,0
869,1,0
541,0,1
741,1,0
934,1,0
881,1,0
475,0,1
315,1,0
818,0,2
1003,0,4
797,0,1
530,1,0
667,1,0
546,0,1
617,0,1
672,1,0
419,0,3
496,0,4
127,0,3
558,0,3
427,0,4
642,0,4
264,0,2
101,1,0
184,0,1
420,0,3
553,0,2
362,1,0
436,1,0
110,0,1
4,1,0
143,0,4
684,0,1
45,0,2
868,1,0
142,0,4
399,0,1
241,1,0
194,0,2
389,1,0
651,1,0
424,0,4
586,1,0
63,0,4
655,1,0
267,0,2
380,1,0
598,1,0
96,1,0
789,1,0
511,1,0
839,0,3
615,0,1
922,1,0
487,0,3
538,1,0
896,1,0
635,0,3
867,1,0
108,0,1
997,0,4
645,0,4
32,1,0
70,0,4
627,0,2
248,1,0
279,0,4
932,1,0
126,0,3
973,0,3
525,1,0
441,1,0
119,0,2
948,0,1
757,1,0
468,0,1
365,1,0
82,1,0
275,0,3
632,0,3
915,1,0
203,0,3
860,0,4
103,1,0
758,1,0
403,0,1
8,1,0
414,0,3
887,1,0
444,1,0
810,0,2
736,1,0
902,1,0
861,0,4
848,0,4
186,0,1
955,0,2
57,0,3
257,0,1
89,1,0
611,1,0
41,0,1
795,0,1
841,0,3
681,1,0
597,1,0
189,0,2
214,0,4
522,1,0
23,1,0
624,0,2
688,0,1
445,1,0
290,1,0
473,0,1
610,1,0
738,1,0
1006,0,4
296,1,0
952,0,1
410,0,2
829,0,3
219,1,0
984,0,3
835,0,3
311,1,0
485,0,2
547,0,1
254,0,1
81,1,0
676,1,0
542,0,1
273,0,3
967,0,2
295,1,0
401,0,1
629,0,2
478,0,2
990,0,4
791,1,0
48,0,2
352,0,4
977,0,3
992,0,4
877,1,0
7,1,0
38,0,1
43,0,1
970,0,2
775,1,0
568,0,4
284,0,4
965,0,2
197,0,2
304,1,0
549,0,2
262,0,2
626,0,2
390,1,0
602,1,0
12,1,0
495,0,4
281,0,4
734,1,0
995,0,4
986,0,3
469,0,1
911,1,0
942,0,1
891,1,0
639,0,4
307,1,0
91,1,0
700,0,2
80,1,0
492,0,3
577,1,0
217,1,0
784,1,0
601,1,0
863,0,4
909,1,0
2,1,0
718,0,4
613,0,1
677,1,0
703,0,3
918,1,0
636,0,3
418,0,3
910,1,0
747,1,0
129,0,3
167,1,0
193,0,2
950,0,1
171,1,0
1007,0,4
584,1,0
397,0,1
68,0,4
153,1,0
648,1,0
130,0,3
959,0,2
945,0,1
746,1,0
647,0,4
146,1,0
856,0,4
481,0,2
229,1,0
935,1,0
155,1,0
488,0,3
316,1,0
439,1,0
340,0,2
658,1,0
740,1,0
807,0,1
299,1,0
102,1,0
